sale_id,date,product_id,store_id,quantity,price
1311,2024-04-19,6,1,1,3895.31
9426,,8,5,1,100.0
127,2024-04-06,6,8,2,3924.72
544,2023-07-31,14,1,5,77.82
351,2024-05-29,10,3,2,527.24
1491,2024-05-12,9,8,2,356.48
775,2024-11-05,6,6,2,4121.62
1292,2023-11-24,5,6,2,9963.94
1062,2024-01-25,11,7,5,312.13
164,2024-02-18,14,1,5,78.7
145,2024-03-02,10,4,5,512.79
977,2023-02-10,8,8,5,44.08
736,2023-05-15,5,1,1,9613.54
1075,2023-02-14,13,6,5,1036.09
30,2024-08-03,15,2,4,205.29
218,2023-05-06,15,8,1,202.24
1121,2023-10-07,4,5,1,8554.22
523,2023-03-06,9,3,3,342.93
190,2024-09-16,14,4,4,82.26
36,2023-03-14,11,1,2,286.07
984,2024-05-24,13,3,5,977.33
1196,2023-10-11,13,6,3,965.23
1038,2024-09-03,9,3,2,349.02
29,2024-01-07,14,5,2,75.51
563,2024-12-21,3,4,2,23935.27
65,2023-10-11,2,6,1,55743.99
1247,2023-05-20,8,4,3,47.14
884,2024-04-02,13,3,1,970.47
270,2024-04-25,8,5,3,45.41
1387,2023-09-15,10,8,5,502.42
792,2024-03-08,13,2,1,987.1
42,2023-12-14,13,2,2,968.19
1057,2024-05-18,8,3,2,43.77
632,2024-05-29,7,5,2,84.78
565,2023-12-18,14,7,2,78.82
936,2023-01-24,4,4,2,9385.95
1194,2024-11-03,13,3,1,1018.55
232,2024-10-10,9,6,4,366.26
953,2024-03-08,10,5,3,526.7
1299,2023-03-31,15,7,2,198.81
304,2023-01-06,14,1,3,76.75
500,2023-11-30,8,7,3,43.26
1,2024-10-16,4,5,1,8741.17
887,2024-09-06,8,2,3,43.75
1129,2023-04-06,13,8,1,994.56
786,2023-12-18,15,8,2,191.8
535,2024-08-01,1,4,2,28588.55
214,2023-06-08,14,2,4,79.91
285,2024-11-17,11,2,4,299.25
1452,2024-08-22,5,1,1,9906.5
1413,2023-08-30,7,3,4,90.17
721,2024-05-27,4,7,2,8911.88
271,2023-12-27,9,5,4,347.32
1011,2023-02-08,11,7,1,307.38
332,2023-06-07,11,6,3,297.32
116,2023-07-24,14,3,2,76.05
459,2023-12-27,5,8,1,10406.48
1471,2023-10-30,9,2,1,349.47
1258,2024-07-25,12,7,2,62603.0
362,2023-06-13,14,6,2,81.08
895,2024-07-26,15,6,3,208.22
1250,2023-12-18,6,5,1,4105.53
681,2023-03-10,3,7,2,25881.2
426,2024-10-18,15,7,3,208.81
1191,2023-10-18,6,1,1,4037.64
1339,2024-05-27,13,4,5,1006.02
746,2023-10-30,5,8,1,10178.02
371,2024-02-08,7,6,5,92.91
